Date,Value
6/8/2021,15007.9767
5/8/2021,14627.893
4/8/2021,13768.6258
3/8/2021,13802.5139
2/8/2021,13607.0256
30/07/2021,13612.112
29/07/2021,13515.6431
28/07/2021,13390.8708
27/07/2021,13271.0477
26/07/2021,13235.4
23/07/2021,13426.3832
22/07/2021,13299.1941
21/07/2021,13132.6504
20/07/2021,13059.8847
19/07/2021,12962.393
16/07/2021,13245.496
15/07/2021,13200.1116
14/07/2021,13099.3552
13/07/2021,13124.3071
12/7/2021,13617.2616
9/7/2021,13885.9812
8/7/2021,13461.764
7/7/2021,13319.1962
6/7/2021,13250.2342
5/7/2021,13305.0359
2/7/2021,13295.2436
1/7/2021,13532.8757
30/06/2021,13602.0583
29/06/2021,13487.2743
28/06/2021,13170.5781
25/06/2021,13579.1367
24/06/2021,13446.2317
23/06/2021,13251.6866
22/06/2021,13122.3824
21/06/2021,13158.361
18/06/2021,13355.0349
17/06/2021,13909.476
15/06/2021,14314.0928
14/06/2021,14728.1133
11/6/2021,14606.7619
10/6/2021,14722.7607
9/6/2021,14656.9439
8/6/2021,14290.7461
7/6/2021,14326.5017
4/6/2021,14066.1689
3/6/2021,14289.4427
2/6/2021,14265.765
1/6/2021,14190.0021
31/05/2021,14338.9755
28/05/2021,14377.6814
27/05/2021,13977.3766
26/05/2021,13519.8315
25/05/2021,13293.1466
24/05/2021,12867.0941
21/05/2021,12881.3784
20/05/2021,12623.0798
19/05/2021,12574.1329
18/05/2021,12567.941
17/05/2021,12454.8005
14/05/2021,12455.8461
13/05/2021,12306.1308
12/5/2021,12331.6943
11/5/2021,12411.9427
10/5/2021,12519.6574
7/5/2021,12298.8893
6/5/2021,12309.3227
5/5/2021,12105.9558
4/5/2021,11972.6787
3/5/2021,12061.8683
30/04/2021,12401.215
29/04/2021,12908.8256
28/04/2021,12547.396
26/04/2021,12385.1236
23/04/2021,12348.9562
22/04/2021,12352.5637
21/04/2021,12147.8051
20/04/2021,12092.1556
19/04/2021,12633.3836
16/04/2021,12778.4332
15/04/2021,12713.8671
14/04/2021,12368.8399
13/04/2021,12468.8151
12/4/2021,12437.9491
9/4/2021,12351.9577
8/4/2021,12271.1061
7/4/2021,12548.1672
6/4/2021,12516.8715
1/4/2021,12467.6271
31/03/2021,12715.2807
30/03/2021,13075.3529
29/03/2021,12749.3393
26/03/2021,12278.0077
25/03/2021,12058.0623
24/03/2021,12173.0793
23/03/2021,12129.2323
19/03/2021,12275.2508
18/03/2021,12678.8158
17/03/2021,12855.1695
16/03/2021,12909.1457
15/03/2021,13293.1332
12/3/2021,13381.1276
11/3/2021,13290.6524
10/3/2021,13138.516
9/3/2021,13037.7126
8/3/2021,12920.9258
5/3/2021,12744.0452
4/3/2021,12742.3158
3/3/2021,12651.6937
2/3/2021,12580.7402
1/3/2021,12361.6257
26/02/2021,12112.4562
25/02/2021,12320.0295
24/02/2021,12163.1898
23/02/2021,11953.7533
22/02/2021,12315.8036
19/02/2021,12460.5727
18/02/2021,12719.8742
17/02/2021,12865.5216
16/02/2021,13219.692
15/02/2021,13314.5259
12/2/2021,13263.6494
11/2/2021,12738.0168
10/2/2021,12766.5382
9/2/2021,12674.2935
8/2/2021,12637.0202
5/2/2021,12789.9648
4/2/2021,11954.204
3/2/2021,11805.2673
2/2/2021,11569.9361
1/2/2021,11335.8955
29/01/2021,11425.759
28/01/2021,11632.5987
27/01/2021,11684.0234
26/01/2021,11451.8992
25/01/2021,11393.6579
22/01/2021,11473.5805
21/01/2021,11835.7353
20/01/2021,11899.6039
19/01/2021,11853.6173
18/01/2021,11719.4165
15/01/2021,11674.587
14/01/2021,11673.1385
13/01/2021,11807.6032
12/1/2021,11798.5142
11/1/2021,11899.0864
8/1/2021,12137.5856
7/1/2021,11858.4252
6/1/2021,11569.1361
5/1/2021,11532.862
4/1/2021,11787.4908
31/12/2020,12037.8965
30/12/2020,12081.9796
29/12/2020,12072.9031
28/12/2020,12237.6395
24/12/2020,12239.8955
23/12/2020,12147.4213
22/12/2020,11975.1766
21/12/2020,11686.1674
18/12/2020,12156.5872
17/12/2020,12190.8226
15/12/2020,11859.3907
14/12/2020,11737.1604
11/12/2020,11472.4719
10/12/2020,11424.1635
9/12/2020,11703.2361
8/12/2020,11577.7166
7/12/2020,11480.8254
4/12/2020,11631.8367
3/12/2020,11427.868
2/12/2020,11242.8066
1/12/2020,11103.0685
30/11/2020,10992.6029
27/11/2020,11757.4265
26/11/2020,11534.2438
25/11/2020,11495.1539
24/11/2020,11205.5741
23/11/2020,10735.8667
20/11/2020,10588.5804
19/11/2020,10666.4914
18/11/2020,10626.5968
17/11/2020,10450.9896
16/11/2020,10293.4747
13/11/2020,10261.0846
12/11/2020,10640.3658
11/11/2020,10733.6263
10/11/2020,10082.5439
9/11/2020,9611.3422
6/11/2020,9251.5018
5/11/2020,9460.5766
4/11/2020,9223.8712
3/11/2020,9298.8125
2/11/2020,8787.9994
30/10/2020,8789.1248
29/10/2020,9213.7598
28/10/2020,9626.5131
27/10/2020,10152.7535
26/10/2020,10119.1781
23/10/2020,10097.0448
22/10/2020,9741.5323
21/10/2020,9329.6712
20/10/2020,9101.6807
19/10/2020,9066.1604
16/10/2020,8767.905
15/10/2020,8814.7715
14/10/2020,8718.8256
13/10/2020,8863.9611
12/10/2020,9066.3058
9/10/2020,8873.722
8/10/2020,8921.0068
7/10/2020,9039.5405
6/10/2020,9023.6979
5/10/2020,9254.8693
2/10/2020,9185.2818
1/10/2020,9081.4602
30/09/2020,8923.2817
29/09/2020,8813.623
28/09/2020,8618.1468
25/09/2020,8183.674
23/09/2020,8382.4104
22/09/2020,8307.9761
21/09/2020,8304.0094
18/09/2020,8583.1552
17/09/2020,8801.0324
16/09/2020,8854.8432
15/09/2020,8850.9653
14/09/2020,9001.9904
11/9/2020,9076.0524
10/9/2020,9249.8472
9/9/2020,8667.5165
8/9/2020,8226.0429
7/9/2020,7990.1161
4/9/2020,8021.005
3/9/2020,7695.9655
2/9/2020,7926.9253
1/9/2020,7894.2295
