StockID,Actual_Slope,Predicted_Slope,Actual_Duration,Predicted_Duration
IMP,-7.961505,922.58075,125.00001,57.782658
MTN,1.3897841,516.72687,150.0,79.36567
SLM,4.668535,659.3694,55.0,99.04702
WHL,-12.382581,479.79807,20.0,80.02868
INP,13.169919,388.56082,15.0,32.702347
BTI,0.82402885,609.035,95.0,47.826656
NED,-0.119815424,330.7096,80.0,40.908142
IMP,-12.637044,598.736,65.0,74.1548
VOD,711.2211,761.5737,5.0,65.97481
MNP,3.7929716,465.0192,95.0,80.72235
IMP,-19.422503,759.61395,15.0,34.680885
BTI,-12.041601,650.1451,110.0,71.40908
CLS,295.80994,611.1484,10.0,47.838192
AGL,-148.57819,381.9256,5.0,37.83586
WHL,-0.17092,388.39435,115.0,116.9519
ANH,-7143.509,249.6993,5.0,39.80764
BTI,40.626648,473.0267,85.0,80.056076
WHL,132.75739,338.8723,10.0,37.213474
HAR,-107.4988,262.53778,15.0,28.68341
ANH,-5.0413346,700.97876,110.0,87.92779
MRP,-3058.1372,873.2876,5.0,60.54244
HAR,-8.994836,385.89215,70.0,32.572773
BVT,-22.949991,318.21866,60.0,40.839966
IMP,9.535345,817.8572,35.000004,54.36579
DSY,17.430046,428.28372,40.0,34.63091
DSY,-27.18128,574.1124,15.0,83.94417
ABG,-88.775444,412.1247,10.0,33.846386
VOD,0.7767412,360.617,45.0,41.071404
ABG,-4.56761,815.8466,104.99999,63.2481
AMS,25000.85,949.6218,5.0,217.45262
MTN,758.56604,282.42828,5.0,40.64461
MRP,124.34676,452.8892,20.0,85.07754
TBS,2.384733,479.55283,205.0,81.15704
DSY,-34.518284,911.78656,40.0,57.711636
TBS,3780.7659,496.2778,5.0,41.81189
ANG,30.37774,704.6119,70.0,66.81384
INP,-107.08382,484.32443,10.0,81.28722
IMP,-42.93294,377.7118,15.0,32.175594
SHC,-6.0165625,388.5835,40.0,32.70346
SLM,4.5156455,603.49426,55.0,74.1864
CFR,-8.578577,-9710.848,115.0,48.025112
AMS,-17366.64,937.88763,5.0,57.884315
S32,2.547801,776.737,80.0,85.09315
NED,1.3340144,313.27615,65.0,40.812992
SHC,-59.98236,463.65158,15.0,80.03475
BVT,-13.553534,599.1116,15.0,47.772488
HAR,-24.893448,463.1065,25.0,80.64619
ANG,-184.73584,489.73218,25.0,79.90634
BVT,-196.93774,373.4943,15.0,31.970848
CPI,159.87907,545.8098,45.0,80.80162
OUT,-0.039659698,462.1508,130.0,81.22341
CFR,-9873.162,-1400.0048,5.0,7.917843
FSR,-14.9783125,458.4847,5.0,80.518845
BVT,3.1642368,449.00397,40.0,35.636875
ABG,-1.9799373,495.292,55.0,80.010376
GLN,-1.3864031,692.11957,45.0,76.845634
HAR,135.10524,345.619,5.0,40.98953
CLS,-78.89381,509.09976,20.0,85.28522
GLN,22.37044,491.39096,15.0,81.50076
FSR,-0.031177608,441.3158,95.0,98.70873
RNI,-23.255981,654.3114,35.000004,71.436745
HAR,-0.41838488,864.63556,115.0,60.484974
NED,18.0679,353.41052,45.0,41.03205
HAR,-1.036941,441.10376,100.0,84.88305
AMS,-1706.011,753.9853,15.0,69.01155
ANH,88.65117,735.49725,45.0,68.88877
SSW,-0.08037372,759.9721,85.0,65.96417
RNI,5.171311,451.50247,135.0,90.68449
PRX,-44.329517,550.1062,120.0,76.91898
GLN,-1.9682744,463.83298,85.0,80.03815
REM,-1.1031014,488.5801,205.0,80.038895
SLM,-0.52419895,749.1366,210.0,73.25934
WHL,0.49174306,496.13605,160.0,80.02617
ANH,-3.8822572,507.55115,230.00002,145.86472
MNP,91.63198,450.7462,20.0,112.13277
RNI,-245.5223,549.6064,10.0,44.802628
REM,-2.271933,885.6277,85.0,75.023285
DSY,-1.796088,451.95932,15.0,35.780346
CPI,1738.067,-2227.4272,15.0,-21.356552
SBK,-5.670493,653.55005,55.0,71.43169
SSW,3.2325175,352.17065,50.000004,41.025288
CPI,-308.43753,-1321.4907,15.0,39.928032
AGL,-421.13416,684.10345,10.0,50.936054
VOD,2.0409963,464.42163,70.0,100.48819
SBK,-3.544882,754.9344,89.99999,70.04781
SLM,52.581726,406.01834,15.0,42.761993
TBS,23.42243,418.04224,20.0,34.133667
ANG,3526.3455,442.81076,5.0,107.11378
PPH,-0.120663635,401.55347,55.0,33.333126
MTN,8.007721,769.36487,60.0,110.973724
SBK,5.760816,334.15988,135.0,65.748856
S32,4.696314,826.192,65.0,54.411285
SBK,68.836586,451.7163,15.0,35.76856
FSR,-39.53735,392.67358,20.0,32.902027
ABG,-14.34873,470.6492,50.000004,80.01158
HAR,-1.418635,704.6155,65.0,68.683685
